unix_timestamp,path,fixation_count,duration,fixation_rate,first_fixation_on_aoi,scan_path_accuracy,edit_distance,attention_switch,convex_hull
1652451757523,/expr/MyLearning/Booking/SelectDate,1,211,1.0,211,1.0,3,0,0.0
1652451799821,/expr/MyLearning/Booking/SelectDate,1,242,1.0,242,1.0,3,0,0.0
1652451822165,/expr/MyLearning/Booking/SelectDate,1,302,1.0,302,1.0,3,0,0.0
1652452096693,/expr/MyLearning/Booking/SelectDate,2,786,1.0,246,1.0,3,0,38.30202153702743
1652452199752,/expr/MyLearning/Booking/SelectDate,2,543,1.0,60,1.0,3,0,74.8652772480381
1652452728528,/expr/MyLearning/Booking/SelectDate,1,272,1.0,272,1.0,3,0,0.0
1652452787381,/expr/MyLearning/Booking/SelectDate,1,211,1.0,211,1.0,3,0,0.0
1652452818215,/expr/MyLearning/Booking/SelectDate,1,392,1.0,392,1.0,3,0,0.0
1652452846910,/expr/MyLearning/Booking/SelectDate,1,241,1.0,241,1.0,3,0,0.0
1652452884666,/expr/MyLearning/Booking/SelectDate,2,297,1.0,267,1.0,3,0,76.47782285200736
