unix_timestamp,path,fixation_count,duration,fixation_rate,first_fixation_on_aoi,scan_path_accuracy,edit_distance,attention_switch,convex_hull
1652454516916,/expr/MyLearning/Booking/SelectDate,2,212,1.0,151,1.0,3,0,238.54521161158712
1652454542747,/expr/MyLearning/Booking/SelectDate,1,242,0.5,242,0.5,3,1,120.6159469532012
1652454555451,/expr/MyLearning/Booking/SelectDate,3,332,1.0,30,1.0,3,0,157.7102804732091
1652454588093,/expr/MyLearning/Booking/SelectDate,2,332,1.0,272,1.0,3,0,227.71776459331085
1652454722817,/expr/MyLearning/Booking/SelectDate,1,90,1.0,90,1.0,3,0,0.0
1652454772381,/expr/MyLearning/Booking/SelectDate,1,60,1.0,60,1.0,3,0,0.0
1652454793698,/expr/MyLearning/Booking/SelectDate,1,242,1.0,242,1.0,3,0,0.0
1652454814639,/expr/MyLearning/Booking/SelectDate,1,91,1.0,91,1.0,3,0,0.0
1652454838693,/expr/MyLearning/Booking/SelectDate,1,34,1.0,34,1.0,3,0,0.0
1652454859948,/expr/MyLearning/Booking/SelectDate,1,332,1.0,332,1.0,3,0,0.0
