unix_timestamp,path,fixation_count,duration,fixation_rate,first_fixation_on_aoi,scan_path_accuracy,edit_distance,attention_switch,convex_hull
1652188398875,/expr/MyHome/News,1,3354,0.5,3354,0.5,1,1,104.1745453893151
1652188706820,/expr/MyHome/News,1,3505,1.0,3505,1.0,0,0,0.0
1652188996375,/expr/MyHome/News,2,3414,0.5,1601,0.5,2,1,127.5899768440696
1652189118215,/expr/MyHome/News,1,4258,1.0,4258,1.0,0,0,0.0
1652189442383,/expr/MyHome/News,1,3204,0.5,3204,0.5,1,1,97.18473137933502
1652189563367,/expr/MyHome/News,1,4048,1.0,4048,1.0,0,0,0.0
1652189697048,/expr/MyHome/News,1,4169,1.0,4169,1.0,0,0,0.0
1652189833774,/expr/MyHome/News,1,2930,1.0,2930,1.0,0,0,0.0
1652189916260,/expr/MyHome/News,1,4169,1.0,4169,1.0,0,0,0.0
1652189998753,/expr/MyHome/News,1,3172,1.0,3172,1.0,0,0,0.0
