unix_timestamp,path,fixation_count,duration,fixation_rate,first_fixation_on_aoi,scan_path_accuracy,edit_distance,attention_switch,convex_hull
1652188416567,/expr/MyLearning/Booking/SelectSpace,8,10243,0.8,2115,0.6666666666666666,8,4,458.2629996099064
1652188722735,/expr/MyLearning/Booking/SelectSpace,8,8458,1.0,725,1.0,6,1,178.75087699461207
1652189013077,/expr/MyLearning/Booking/SelectSpace,4,9696,1.0,2778,1.0,2,1,162.71809505311248
1652189134557,/expr/MyLearning/Booking/SelectSpace,9,9787,1.125,31,1.0,6,1,235.15036471935488
1652189457861,/expr/MyLearning/Booking/SelectSpace,2,9274,1.0,5136,1.0,0,1,171.4857791831702
1652189577249,/expr/MyLearning/Booking/SelectSpace,2,8882,0.6666666666666666,4864,0.6666666666666666,1,2,423.58559443410536
1652189709843,/expr/MyLearning/Booking/SelectSpace,5,6494,0.7142857142857143,2597,0.6666666666666666,4,2,457.2784897868193
1652189846643,/expr/MyLearning/Booking/SelectSpace,7,6707,0.875,2115,0.6666666666666666,6,2,489.3984768378312
1652189930795,/expr/MyLearning/Booking/SelectSpace,4,7642,0.8,241,0.6666666666666666,3,2,473.0748408429806
1652190010483,/expr/MyLearning/Booking/SelectSpace,2,7491,1.0,3836,1.0,0,1,164.8034392064031
